Year,Age,E_F,E_H,E_Tot,D_F,D_H,D_Tot,m_F,m_H,m_Tot
2002,3,358373.42,376305.81,734679.23,55,79,134,0.0001534712033052005,0.00020993563718827514,0.00018239252523853165
2002,4,354714.55,373312.83,728027.37,50,55,105,0.00014095841289848415,0.00014732951985604138,0.0001442253469124382
2002,5,355472.0,374923.95,730395.95,42,49,91,0.0001181527658999865,0.0001306931712417945,0.00012458995699524348
2002,6,357255.29,375161.03,732416.32,38,58,96,0.00010636651454482312,0.00015460027924542162,0.00013107299411351184
2002,7,350588.48,367361.68,717950.16,38,51,89,0.00010838918609076944,0.00013882776232948413,0.00012396403672366337
2002,8,345994.63,362639.9,708634.53,32,47,79,9.24869845523325e-05,0.00012960515376272714,0.00011148200751662496
2002,9,354000.25,371593.67,725593.92,44,55,99,0.00012429369753269947,0.00014801113269771255,0.0001364399525288194
2002,10,367650.24,386310.83,753961.08,47,37,84,0.00012783889383561942,9.577779634083776e-05,0.00011141158639117022
2002,11,372823.3,392440.08,765263.38,39,43,82,0.00010460719595583216,0.00010957086748122159,0.00010715265115652077
2002,12,378024.17,397359.68,775383.85,44,52,96,0.0001163946739172789,0.0001308638058093866,0.00012380964602241846
2002,13,382238.86,401299.17,783538.03,40,89,129,0.00010464660762121361,0.00022177967624503186,0.0001646378287471254
2002,14,383261.02,402076.58,785337.6,57,85,142,0.00014872370793147708,0.00021140251441653229,0.00018081395822637297
2002,15,387236.39,404512.56,791748.95,63,120,183,0.00016269132144321457,0.00029665333506578883,0.00023113387141214398
2002,16,388246.26,403861.2,792107.45,86,185,271,0.00022150889489572933,0.00045807817141136606,0.00034212530130855356
2002,17,383720.74,398323.98,782044.72,85,231,316,0.00022151526133302047,0.0005799299354259315,0.00040406896424030587
2002,18,373607.76,386174.26,759782.02,142,344,486,0.0003800777585561927,0.0008907895622043789,0.0006396571479804168
2002,19,382827.95,393796.64,776624.58,127,348,475,0.00033174171321608047,0.0008837048482688933,0.0006116211258726836
2002,20,396979.44,405906.59,802886.03,135,438,573,0.00034006798941527047,0.0010790659989038363,0.00071367538927038
2002,21,400292.14,404800.97,805093.11,126,406,532,0.0003147701076518764,0.0010029620235346768,0.0006607931348462291
2002,22,387975.45,389170.35,777145.8,158,405,563,0.00040724226236479654,0.0010406753751923804,0.0007244457861060305
2002,23,369809.19,369797.44,739606.63,99,386,485,0.0002677056240814351,0.0010438146894689157,0.000655753991821301
2002,24,370287.83,370361.89,740649.72,130,359,489,0.0003510782409456989,0.000969322194570289,0.0006602311278805317
2002,25,365284.75,364635.56,729920.31,136,394,530,0.0003723122851419338,0.0010805309279215663,0.0007261066622464581
2002,26,361579.17,359669.82,721248.99,121,387,508,0.00033464317095478703,0.0010759868592811039,0.0007043337419439576
2002,27,385860.45,383405.97,769266.42,140,425,565,0.0003628254722659448,0.0011084856086095896,0.0007344659604405974
2002,28,406722.36,403882.38,810604.74,160,456,616,0.0003933887480393259,0.0011290415788873978,0.0007599264716858182
2002,29,431413.16,428587.12,860000.28,172,470,642,0.00039868973862549766,0.001096626515514512,0.0007465113848567584
2002,30,435156.17,432678.91,867835.08,170,495,665,0.00039066434471100343,0.0011440354234043902,0.0007662746244367075
2002,31,434510.53,432768.07,867278.6,179,504,683,0.0004119577953611389,0.0011645960849191114,0.0007875208727622242
2002,32,424897.78,422956.67,847854.46,203,547,750,0.00047776196900816944,0.0012932766848197477,0.0008845857813851684
2002,33,425498.05,422205.94,847703.99,222,526,748,0.0005217415214946344,0.0012458375171130942,0.0008823834838856899
2002,34,426034.27,421993.4,848027.67,254,552,806,0.000596196169852721,0.001308077330119381,0.0009504406855026322
2002,35,432211.2,427565.81,859777.01,284,619,903,0.0006570861652821584,0.001447730350562876,0.0010502723258441163
2002,36,441237.64,435694.69,876932.33,320,717,1037,0.0007252327793249914,0.0016456477814774377,0.0011825313818684276
2002,37,446896.78,439502.43,886399.21,349,777,1126,0.0007809409591181211,0.0017679083139540322,0.001270307991362041
2002,38,449601.58,440157.59,889759.17,398,851,1249,0.0008852282058261449,0.0019333984448615324,0.0014037506351297284
2002,39,441955.14,431878.09,873833.24,445,876,1321,0.0010068895227692113,0.002028350176319433,0.0015117300870816038
2002,40,434745.14,424905.81,859650.95,476,973,1449,0.0010948943558057947,0.002289919264695392,0.0016855678458797725
2002,41,438309.5,427899.31,866208.81,570,1062,1632,0.0013004509370661598,0.002481892293773505,0.001884072271211372
2002,42,436333.71,424524.96,860858.67,613,1225,1838,0.0014048880156428895,0.0028855782708277033,0.0021350775267210817
